_id,resale_price,year,month,timeseries_month,region,town,rooms,avg_storey,floor_area_sqm,remaining_lease,dist_to_marina_bay,latitude,longitude,nearest_station_0,dist_to_station_0
117567,730000.0,2022,12,2022-12-01,West,Bukit Panjang,5.0,14.0,110.0,78.08333333333333,15.01,1.38038712496611,103.76535460069,Bukit Panjang MRT,0.45
117566,795000.0,2022,12,2022-12-01,West,Bukit Panjang,5.0,20.0,111.0,79.5,15.11,1.37925788735519,103.762997101416,Bukit Panjang MRT,0.17
117565,730888.0,2022,12,2022-12-01,West,Bukit Panjang,5.0,8.0,111.0,79.58333333333333,15.11,1.37925788735519,103.762997101416,Bukit Panjang MRT,0.17
117564,550000.0,2022,12,2022-12-01,West,Bukit Panjang,5.0,8.0,122.0,74.75,15.43,1.38758753212601,103.767385364804,Fajar LRT,0.51
117563,609000.0,2022,12,2022-12-01,West,Bukit Panjang,5.0,5.0,121.0,74.91666666666667,15.49,1.38820615707893,103.767265836753,Fajar LRT,0.57
117562,570000.0,2022,12,2022-12-01,West,Bukit Panjang,5.0,8.0,121.0,74.75,15.43,1.38758753212601,103.767385364804,Fajar LRT,0.51
117561,550000.0,2022,12,2022-12-01,West,Bukit Panjang,5.0,5.0,119.0,75.25,15.42,1.38545862945551,103.765218708925,Fajar LRT,0.64
117560,565000.0,2022,12,2022-12-01,West,Bukit Panjang,5.0,5.0,120.0,74.5,15.37,1.38781353239945,103.768439867751,Fajar LRT,0.45
117559,720000.0,2022,12,2022-12-01,West,Bukit Panjang,5.0,14.0,121.0,74.08333333333333,14.82,1.37896953663304,103.766375003722,Bukit Panjang MRT,0.54
117557,700000.0,2022,12,2022-12-01,West,Bukit Panjang,5.0,14.0,113.0,93.08333333333333,14.63,1.38092147169303,103.770840739111,Bangkit LRT,0.22
117556,555000.0,2022,12,2022-12-01,West,Bukit Panjang,5.0,2.0,128.0,65.33333333333333,14.97,1.38394510110813,103.769613738594,Fajar LRT,0.16
117555,500000.0,2022,12,2022-12-01,West,Bukit Panjang,5.0,14.0,122.0,65.16666666666667,15.11,1.38539699350939,103.769211131634,Fajar LRT,0.21
