_id,resale_price,year,month,timeseries_month,region,town,rooms,avg_storey,floor_area_sqm,remaining_lease
152141,412000.0,2023,4,2023-04-01,North,Yishun,3.0,5.0,73.0,64.08333333333333
152140,345000.0,2023,4,2023-04-01,North,Yishun,3.0,5.0,64.0,62.083333333333336
152139,350000.0,2023,4,2023-04-01,North,Yishun,3.0,2.0,64.0,63.0
152138,335000.0,2023,4,2023-04-01,North,Yishun,3.0,2.0,64.0,63.0
152137,358000.0,2023,4,2023-04-01,North,Yishun,3.0,5.0,64.0,63.833333333333336
152136,450000.0,2023,4,2023-04-01,North,Yishun,3.0,11.0,68.0,93.33333333333333
152133,370000.0,2023,4,2023-04-01,North,Yishun,3.0,11.0,67.0,61.666666666666664
152132,388000.0,2023,4,2023-04-01,North,Yishun,3.0,8.0,67.0,61.416666666666664
152131,362000.0,2023,4,2023-04-01,North,Yishun,3.0,8.0,67.0,61.583333333333336
152130,370000.0,2023,4,2023-04-01,North,Yishun,3.0,5.0,67.0,61.333333333333336
152129,358000.0,2023,4,2023-04-01,North,Yishun,3.0,2.0,74.0,60.916666666666664
152128,360000.0,2023,4,2023-04-01,North,Yishun,3.0,11.0,74.0,60.916666666666664
152127,370000.0,2023,4,2023-04-01,North,Yishun,3.0,8.0,67.0,61.5
152126,360000.0,2023,4,2023-04-01,North,Yishun,3.0,2.0,74.0,59.25
152125,343000.0,2023,4,2023-04-01,North,Yishun,3.0,8.0,64.0,61.416666666666664
152124,353000.0,2023,4,2023-04-01,North,Yishun,3.0,8.0,74.0,59.25
152123,368000.0,2023,4,2023-04-01,North,Yishun,3.0,2.0,74.0,63.166666666666664
152122,338000.0,2023,4,2023-04-01,North,Yishun,3.0,8.0,64.0,64.25
152121,450000.0,2023,4,2023-04-01,North,Yishun,3.0,8.0,67.0,94.16666666666667
152120,330000.0,2023,4,2023-04-01,North,Yishun,3.0,2.0,68.0,60.5
152119,395000.0,2023,4,2023-04-01,North,Yishun,3.0,5.0,77.0,59.333333333333336
152118,388888.0,2023,4,2023-04-01,North,Yishun,3.0,11.0,74.0,63.833333333333336
152117,368000.0,2023,4,2023-04-01,North,Yishun,3.0,5.0,74.0,63.333333333333336
152116,350000.0,2023,4,2023-04-01,North,Yishun,3.0,2.0,73.0,64.5
152115,375000.0,2023,4,2023-04-01,North,Yishun,3.0,2.0,67.0,60.75
152114,358000.0,2023,4,2023-04-01,North,Yishun,3.0,8.0,68.0,59.75
152113,378000.0,2023,4,2023-04-01,North,Yishun,3.0,11.0,68.0,59.75
152112,370000.0,2023,4,2023-04-01,North,Yishun,3.0,11.0,68.0,60.083333333333336
152111,345000.0,2023,4,2023-04-01,North,Yishun,3.0,2.0,68.0,54.25
152110,343000.0,2023,4,2023-04-01,North,Yishun,3.0,5.0,68.0,54.25
152109,475000.0,2023,4,2023-04-01,North,Yishun,3.0,11.0,68.0,94.58333333333333
152108,410000.0,2023,4,2023-04-01,North,Yishun,3.0,2.0,68.0,94.0
152107,457000.0,2023,4,2023-04-01,North,Yishun,3.0,14.0,68.0,93.75
152106,438000.0,2023,4,2023-04-01,North,Yishun,3.0,11.0,68.0,94.66666666666667
152105,432000.0,2023,4,2023-04-01,North,Yishun,3.0,5.0,68.0,94.58333333333333
152104,445000.0,2023,4,2023-04-01,North,Yishun,3.0,11.0,68.0,94.58333333333333
152103,430000.0,2023,4,2023-04-01,North,Yishun,3.0,5.0,68.0,93.83333333333333
152102,425000.0,2023,4,2023-04-01,North,Yishun,3.0,14.0,68.0,94.66666666666667
152101,435000.0,2023,4,2023-04-01,North,Yishun,3.0,5.0,68.0,94.66666666666667
152100,477000.0,2023,4,2023-04-01,North,Yishun,3.0,5.0,67.0,89.5
152099,485000.0,2023,4,2023-04-01,North,Yishun,3.0,2.0,67.0,89.5
152098,533888.0,2023,4,2023-04-01,North,Yishun,3.0,14.0,67.0,89.5
152097,400000.0,2023,4,2023-04-01,North,Yishun,3.0,5.0,67.0,91.41666666666667
152096,315000.0,2023,4,2023-04-01,North,Yishun,2.0,8.0,38.0,94.5
152095,325000.0,2023,4,2023-04-01,North,Yishun,2.0,2.0,47.0,94.58333333333333
152094,760000.0,2023,4,2023-04-01,North,Woodlands,5.5,8.0,147.0,72.0
152093,955000.0,2023,4,2023-04-01,North,Woodlands,5.5,2.0,192.0,69.75
152092,848000.0,2023,4,2023-04-01,North,Woodlands,5.5,8.0,149.0,64.58333333333333
152091,801000.0,2023,4,2023-04-01,North,Woodlands,5.5,8.0,146.0,64.66666666666667
152090,920000.0,2023,4,2023-04-01,North,Woodlands,5.5,8.0,176.0,71.5
152089,760000.0,2023,4,2023-04-01,North,Woodlands,5.5,8.0,142.0,75.5
152088,740000.0,2023,4,2023-04-01,North,Woodlands,5.5,5.0,143.0,75.83333333333333
152087,728888.0,2023,4,2023-04-01,North,Woodlands,5.5,5.0,144.0,73.5
152086,760000.0,2023,4,2023-04-01,North,Woodlands,5.5,8.0,145.0,75.91666666666667
152085,782000.0,2023,4,2023-04-01,North,Woodlands,5.5,8.0,140.0,72.58333333333333
152084,770000.0,2023,4,2023-04-01,North,Woodlands,5.5,8.0,147.0,75.0
152083,735000.0,2023,4,2023-04-01,North,Woodlands,5.5,2.0,147.0,72.5
152082,878000.0,2023,4,2023-04-01,North,Woodlands,5.5,8.0,173.0,71.0
152081,850000.0,2023,4,2023-04-01,North,Woodlands,5.5,2.0,166.0,71.0
152080,838000.0,2023,4,2023-04-01,North,Woodlands,5.5,2.0,173.0,71.08333333333333
152079,575888.0,2023,4,2023-04-01,North,Woodlands,5.0,8.0,124.0,72.33333333333333
152078,575000.0,2023,4,2023-04-01,North,Woodlands,5.0,11.0,121.0,72.91666666666667
152077,619800.0,2023,4,2023-04-01,North,Woodlands,5.0,11.0,136.0,71.83333333333333
152076,560000.0,2023,4,2023-04-01,North,Woodlands,5.0,5.0,121.0,73.0
152075,555000.0,2023,4,2023-04-01,North,Woodlands,5.0,11.0,122.0,68.91666666666667
152074,638000.0,2023,4,2023-04-01,North,Woodlands,5.0,5.0,137.0,69.83333333333333
152073,608888.0,2023,4,2023-04-01,North,Woodlands,5.0,8.0,113.0,94.33333333333333
152072,650000.0,2023,4,2023-04-01,North,Woodlands,5.0,11.0,113.0,94.25
152071,608000.0,2023,4,2023-04-01,North,Woodlands,5.0,5.0,113.0,94.33333333333333
152070,670000.0,2023,4,2023-04-01,North,Woodlands,5.0,17.0,113.0,94.33333333333333
152069,675888.0,2023,4,2023-04-01,North,Woodlands,5.0,14.0,113.0,94.33333333333333
152068,605000.0,2023,4,2023-04-01,North,Woodlands,5.0,11.0,122.0,73.91666666666667
152067,625000.0,2023,4,2023-04-01,North,Woodlands,5.0,8.0,121.0,75.25
152066,520000.0,2023,4,2023-04-01,North,Woodlands,5.0,2.0,122.0,74.58333333333333
152065,550000.0,2023,4,2023-04-01,North,Woodlands,5.0,8.0,110.0,79.83333333333333
152064,515000.0,2023,4,2023-04-01,North,Woodlands,5.0,2.0,110.0,79.91666666666667
152063,555000.0,2023,4,2023-04-01,North,Woodlands,5.0,11.0,114.0,78.83333333333333
152062,623000.0,2023,4,2023-04-01,North,Woodlands,5.0,2.0,113.0,94.16666666666667
152061,670000.0,2023,4,2023-04-01,North,Woodlands,5.0,8.0,113.0,94.16666666666667
152060,588000.0,2023,4,2023-04-01,North,Woodlands,5.0,11.0,118.0,72.66666666666667
152059,696000.0,2023,4,2023-04-01,North,Woodlands,5.0,11.0,113.0,94.41666666666667
152058,710000.0,2023,4,2023-04-01,North,Woodlands,5.0,8.0,113.0,94.5
152057,610000.0,2023,4,2023-04-01,North,Woodlands,5.0,5.0,120.0,75.91666666666667
152056,560000.0,2023,4,2023-04-01,North,Woodlands,5.0,2.0,121.0,74.16666666666667
152055,580000.0,2023,4,2023-04-01,North,Woodlands,5.0,8.0,123.0,72.75
152054,565000.0,2023,4,2023-04-01,North,Woodlands,5.0,5.0,118.0,73.33333333333333
152053,570000.0,2023,4,2023-04-01,North,Woodlands,5.0,5.0,121.0,72.58333333333333
152052,558888.0,2023,4,2023-04-01,North,Woodlands,5.0,11.0,120.0,76.16666666666667
152051,588888.0,2023,4,2023-04-01,North,Woodlands,5.0,8.0,120.0,76.16666666666667
152050,574000.0,2023,4,2023-04-01,North,Woodlands,5.0,8.0,111.0,77.08333333333333
152049,610000.0,2023,4,2023-04-01,North,Woodlands,5.0,5.0,129.0,75.91666666666667
152048,575000.0,2023,4,2023-04-01,North,Woodlands,5.0,5.0,124.0,74.75
152047,552000.0,2023,4,2023-04-01,North,Woodlands,5.0,5.0,123.0,74.75
152046,595000.0,2023,4,2023-04-01,North,Woodlands,5.0,8.0,123.0,74.75
152045,588888.0,2023,4,2023-04-01,North,Woodlands,5.0,11.0,120.0,73.58333333333333
152044,600000.0,2023,4,2023-04-01,North,Woodlands,5.0,11.0,122.0,73.83333333333333
152043,560000.0,2023,4,2023-04-01,North,Woodlands,5.0,8.0,122.0,73.5
152042,574000.0,2023,4,2023-04-01,North,Woodlands,5.0,8.0,121.0,73.91666666666667
152041,583000.0,2023,4,2023-04-01,North,Woodlands,5.0,11.0,123.0,71.91666666666667
152040,665000.0,2023,4,2023-04-01,North,Woodlands,5.0,2.0,113.0,94.41666666666667
152039,530000.0,2023,4,2023-04-01,North,Woodlands,5.0,5.0,121.0,73.91666666666667
152038,615000.0,2023,4,2023-04-01,North,Woodlands,5.0,8.0,124.0,73.33333333333333
152037,665000.0,2023,4,2023-04-01,North,Woodlands,5.0,5.0,121.0,72.58333333333333
152036,610000.0,2023,4,2023-04-01,North,Woodlands,5.0,5.0,120.0,72.41666666666667
152035,610000.0,2023,4,2023-04-01,North,Woodlands,5.0,8.0,139.0,60.75
152034,650000.0,2023,4,2023-04-01,North,Woodlands,5.0,5.0,134.0,71.08333333333333
152033,418000.0,2023,4,2023-04-01,North,Woodlands,5.0,11.0,117.0,51.75
152032,506000.0,2023,4,2023-04-01,North,Woodlands,5.0,14.0,126.0,52.25
152031,480000.0,2023,4,2023-04-01,North,Woodlands,4.0,8.0,105.0,72.25
152030,468000.0,2023,4,2023-04-01,North,Woodlands,4.0,2.0,104.0,70.25
152029,450000.0,2023,4,2023-04-01,North,Woodlands,4.0,2.0,109.0,65.58333333333333
152028,423000.0,2023,4,2023-04-01,North,Woodlands,4.0,2.0,84.0,72.41666666666667
152027,425000.0,2023,4,2023-04-01,North,Woodlands,4.0,2.0,89.0,69.83333333333333
152026,430000.0,2023,4,2023-04-01,North,Woodlands,4.0,2.0,91.0,61.0
152025,472000.0,2023,4,2023-04-01,North,Woodlands,4.0,8.0,103.0,60.916666666666664
152024,462000.0,2023,4,2023-04-01,North,Woodlands,4.0,11.0,91.0,62.833333333333336
152023,480000.0,2023,4,2023-04-01,North,Woodlands,4.0,5.0,103.0,66.16666666666667
152022,427000.0,2023,4,2023-04-01,North,Woodlands,4.0,2.0,91.0,62.583333333333336
152021,535000.0,2023,4,2023-04-01,North,Woodlands,4.0,11.0,93.0,94.25
152020,520000.0,2023,4,2023-04-01,North,Woodlands,4.0,8.0,93.0,94.25
152019,550000.0,2023,4,2023-04-01,North,Woodlands,4.0,8.0,93.0,94.33333333333333
152018,515888.0,2023,4,2023-04-01,North,Woodlands,4.0,8.0,93.0,94.33333333333333
152017,525000.0,2023,4,2023-04-01,North,Woodlands,4.0,5.0,93.0,94.33333333333333
152016,476000.0,2023,4,2023-04-01,North,Woodlands,4.0,2.0,102.0,73.91666666666667
152015,495000.0,2023,4,2023-04-01,North,Woodlands,4.0,11.0,101.0,75.25
152014,460000.0,2023,4,2023-04-01,North,Woodlands,4.0,5.0,86.0,76.41666666666667
152013,500000.0,2023,4,2023-04-01,North,Woodlands,4.0,5.0,101.0,73.91666666666667
152012,462000.0,2023,4,2023-04-01,North,Woodlands,4.0,2.0,100.0,73.83333333333333
152011,516888.0,2023,4,2023-04-01,North,Woodlands,4.0,8.0,101.0,74.33333333333333
152010,480000.0,2023,4,2023-04-01,North,Woodlands,4.0,5.0,85.0,76.58333333333333
152009,423000.0,2023,4,2023-04-01,North,Woodlands,4.0,2.0,102.0,75.5
152008,480000.0,2023,4,2023-04-01,North,Woodlands,4.0,5.0,95.0,78.83333333333333
152007,462000.0,2023,4,2023-04-01,North,Woodlands,4.0,2.0,90.0,79.75
152006,540000.0,2023,4,2023-04-01,North,Woodlands,4.0,17.0,90.0,79.91666666666667
152005,465000.0,2023,4,2023-04-01,North,Woodlands,4.0,2.0,90.0,79.75
152004,562000.0,2023,4,2023-04-01,North,Woodlands,4.0,8.0,93.0,94.16666666666667
152003,518000.0,2023,4,2023-04-01,North,Woodlands,4.0,8.0,102.0,75.83333333333333
152002,575000.0,2023,4,2023-04-01,North,Woodlands,4.0,11.0,93.0,94.16666666666667
152001,512000.0,2023,4,2023-04-01,North,Woodlands,4.0,11.0,102.0,72.91666666666667
152000,525000.0,2023,4,2023-04-01,North,Woodlands,4.0,11.0,101.0,73.16666666666667
151999,475000.0,2023,4,2023-04-01,North,Woodlands,4.0,11.0,99.0,72.75
151998,555000.0,2023,4,2023-04-01,North,Woodlands,4.0,5.0,92.0,94.41666666666667
151997,556000.0,2023,4,2023-04-01,North,Woodlands,4.0,11.0,92.0,94.41666666666667
151996,510000.0,2023,4,2023-04-01,North,Woodlands,4.0,14.0,102.0,75.91666666666667
151995,510000.0,2023,4,2023-04-01,North,Woodlands,4.0,5.0,92.0,94.41666666666667
151994,515000.0,2023,4,2023-04-01,North,Woodlands,4.0,2.0,92.0,94.5
151993,490000.0,2023,4,2023-04-01,North,Woodlands,4.0,8.0,100.0,73.66666666666667
151992,449000.0,2023,4,2023-04-01,North,Woodlands,4.0,2.0,100.0,73.33333333333333
151991,467000.0,2023,4,2023-04-01,North,Woodlands,4.0,2.0,102.0,73.66666666666667
151990,480000.0,2023,4,2023-04-01,North,Woodlands,4.0,11.0,102.0,75.66666666666667
151989,450000.0,2023,4,2023-04-01,North,Woodlands,4.0,5.0,101.0,75.75
151988,500000.0,2023,4,2023-04-01,North,Woodlands,4.0,8.0,100.0,72.5
151987,540000.0,2023,4,2023-04-01,North,Woodlands,4.0,8.0,93.0,93.25
151986,470000.0,2023,4,2023-04-01,North,Woodlands,4.0,8.0,100.0,73.16666666666667
151985,495000.0,2023,4,2023-04-01,North,Woodlands,4.0,8.0,100.0,73.5
151984,487000.0,2023,4,2023-04-01,North,Woodlands,4.0,5.0,100.0,72.58333333333333
151983,472000.0,2023,4,2023-04-01,North,Woodlands,4.0,2.0,100.0,72.58333333333333
151982,485000.0,2023,4,2023-04-01,North,Woodlands,4.0,5.0,99.0,73.5
151981,580000.0,2023,4,2023-04-01,North,Woodlands,4.0,11.0,93.0,93.33333333333333
151980,475000.0,2023,4,2023-04-01,North,Woodlands,4.0,5.0,99.0,73.5
151979,480000.0,2023,4,2023-04-01,North,Woodlands,4.0,5.0,102.0,72.5
151978,498000.0,2023,4,2023-04-01,North,Woodlands,4.0,11.0,91.0,76.58333333333333
151977,580888.0,2023,4,2023-04-01,North,Woodlands,4.0,8.0,93.0,94.16666666666667
151976,551800.0,2023,4,2023-04-01,North,Woodlands,4.0,5.0,93.0,94.16666666666667
151975,539000.0,2023,4,2023-04-01,North,Woodlands,4.0,5.0,93.0,94.16666666666667
151974,482000.0,2023,4,2023-04-01,North,Woodlands,4.0,8.0,100.0,76.41666666666667
151973,490000.0,2023,4,2023-04-01,North,Woodlands,4.0,2.0,93.0,94.16666666666667
151972,538000.0,2023,4,2023-04-01,North,Woodlands,4.0,8.0,93.0,94.25
151971,612888.0,2023,4,2023-04-01,North,Woodlands,4.0,11.0,93.0,94.25
151970,550888.0,2023,4,2023-04-01,North,Woodlands,4.0,11.0,104.0,75.33333333333333
151969,525000.0,2023,4,2023-04-01,North,Woodlands,4.0,11.0,106.0,75.33333333333333
151968,480000.0,2023,4,2023-04-01,North,Woodlands,4.0,8.0,101.0,74.75
151967,525000.0,2023,4,2023-04-01,North,Woodlands,4.0,8.0,102.0,76.0
151966,508888.0,2023,4,2023-04-01,North,Woodlands,4.0,11.0,105.0,76.25
151965,490000.0,2023,4,2023-04-01,North,Woodlands,4.0,2.0,105.0,75.0
151964,520000.0,2023,4,2023-04-01,North,Woodlands,4.0,14.0,92.0,91.16666666666667
151963,445000.0,2023,4,2023-04-01,North,Woodlands,4.0,2.0,92.0,73.5
151962,478000.0,2023,4,2023-04-01,North,Woodlands,4.0,2.0,92.0,91.33333333333333
152205,550000.0,2023,4,2023-04-01,North,Yishun,4.0,8.0,92.0,92.0
151961,525000.0,2023,4,2023-04-01,North,Woodlands,4.0,14.0,92.0,91.33333333333333
151960,475000.0,2023,4,2023-04-01,North,Woodlands,4.0,5.0,100.0,73.5
151959,470000.0,2023,4,2023-04-01,North,Woodlands,4.0,2.0,102.0,73.75
151958,500000.0,2023,4,2023-04-01,North,Woodlands,4.0,11.0,100.0,73.58333333333333
151957,500000.0,2023,4,2023-04-01,North,Woodlands,4.0,11.0,100.0,73.33333333333333
151956,490000.0,2023,4,2023-04-01,North,Woodlands,4.0,11.0,103.0,73.5
151955,480000.0,2023,4,2023-04-01,North,Woodlands,4.0,5.0,106.0,72.41666666666667
151954,465000.0,2023,4,2023-04-01,North,Woodlands,4.0,5.0,101.0,74.41666666666667
151953,492000.0,2023,4,2023-04-01,North,Woodlands,4.0,5.0,105.0,72.33333333333333
151952,398000.0,2023,4,2023-04-01,North,Woodlands,4.0,5.0,92.0,56.5
