_id,town,flat_type,flat_model,floor_area_sqm,street_name,resale_price,month,remaining_lease,lease_commence_date,storey_range,block,rooms,avg_storey,timeseries_month,year,original_street_name,region,position
143712,Ang Mo Kio,4 Room,Model A,93.0,Ang Mo Kio Street 51,910888.0,4,94.83333333333333,2019,13 To 15,591A,4.0,14.0,2023-04-01,2023,Ang Mo Kio St 51,North-East,"1.37093324079314,103.851940766136 561591"
143719,Ang Mo Kio,4 Room,Model A,91.0,Ang Mo Kio Street 52,728000.0,4,78.75,2002,07 To 09,596B,4.0,8.0,2023-04-01,2023,Ang Mo Kio St 52,North-East,"1.37205123278789,103.850545847531 562596"
143720,Ang Mo Kio,4 Room,Dbss,91.0,Ang Mo Kio Street 52,800000.0,4,87.33333333333333,2011,04 To 06,588D,4.0,5.0,2023-04-01,2023,Ang Mo Kio St 52,North-East,"1.37175400663025,103.8538833087 564588"
143730,Ang Mo Kio,5 Room,Improved,119.0,Ang Mo Kio Avenue 10,665000.0,4,55.083333333333336,1979,22 To 24,401,5.0,23.0,2023-04-01,2023,Ang Mo Kio Ave 10,North-East,"1.36101765642805,103.855387562453 560401"
143731,Ang Mo Kio,5 Room,Improved,118.0,Ang Mo Kio Avenue 10,628000.0,4,56.75,1981,13 To 15,551,5.0,14.0,2023-04-01,2023,Ang Mo Kio Ave 10,North-East,"1.37392862005901,103.858665713793 560551"
143736,Ang Mo Kio,5 Room,Improved,123.0,Ang Mo Kio Avenue 3,670000.0,4,53.75,1978,07 To 09,312,5.0,8.0,2023-04-01,2023,Ang Mo Kio Ave 3,North-East,"1.36620036835108,103.848778360851 560312"
143737,Ang Mo Kio,5 Room,Improved,123.0,Ang Mo Kio Avenue 3,600000.0,4,53.75,1978,01 To 03,311,5.0,2.0,2023-04-01,2023,Ang Mo Kio Ave 3,North-East,"1.36663973560866,103.848769708749 560311"
143743,Ang Mo Kio,5 Room,Model A,134.0,Ang Mo Kio Avenue 4,635000.0,4,72.25,1996,04 To 06,618,5.0,5.0,2023-04-01,2023,Ang Mo Kio Ave 4,North-East,"1.37795244011691,103.83844686462 560618"
143747,Ang Mo Kio,5 Room,Improved,119.0,Ang Mo Kio Avenue 6,755000.0,4,56.166666666666664,1980,04 To 06,725,5.0,5.0,2023-04-01,2023,Ang Mo Kio Ave 6,North-East,"1.37279081671095,103.846911241497 560725"
143748,Ang Mo Kio,5 Room,Improved,119.0,Ang Mo Kio Avenue 6,792000.0,4,56.166666666666664,1980,07 To 09,716,5.0,8.0,2023-04-01,2023,Ang Mo Kio Ave 6,North-East,"1.37147783065153,103.845868750998 560716"
143749,Ang Mo Kio,5 Room,Improved,117.0,Ang Mo Kio Avenue 8,728000.0,4,56.583333333333336,1980,04 To 06,710,5.0,5.0,2023-04-01,2023,Ang Mo Kio Ave 8,North-East,"1.37104583077812,103.848186835874 560710"
143751,Ang Mo Kio,5 Room,Improved,128.0,Ang Mo Kio Street 11,780000.0,4,72.16666666666667,1996,01 To 03,104B,5.0,2.0,2023-04-01,2023,Ang Mo Kio St 11,North-East,"1.37151151416054,103.838458787545 561104"
143759,Ang Mo Kio,5 Room,Improved,113.0,Ang Mo Kio Street 44,1018000.0,4,93.91666666666667,2018,13 To 15,455A,5.0,14.0,2023-04-01,2023,Ang Mo Kio St 44,North-East,"1.36817376241157,103.857520553516 561455"
143760,Ang Mo Kio,5 Room,Improved,113.0,Ang Mo Kio Street 44,871888.0,4,93.91666666666667,2018,04 To 06,455A,5.0,5.0,2023-04-01,2023,Ang Mo Kio St 44,North-East,"1.36817376241157,103.857520553516 561455"
143766,Ang Mo Kio,5 Room,Dbss,112.0,Ang Mo Kio Street 52,853000.0,4,87.33333333333333,2011,04 To 06,588D,5.0,5.0,2023-04-01,2023,Ang Mo Kio St 52,North-East,"1.37175400663025,103.8538833087 564588"
143768,Ang Mo Kio,Executive,Apartment,147.0,Ang Mo Kio Avenue 4,918000.0,4,72.08333333333333,1996,01 To 03,614,4.5,2.0,2023-04-01,2023,Ang Mo Kio Ave 4,North-East,"1.37796930547009,103.839217148059 560614"
143769,Ang Mo Kio,Executive,Adjoined Flat,163.0,Ang Mo Kio Avenue 8,948000.0,4,56.333333333333336,1980,01 To 03,505,4.5,2.0,2023-04-01,2023,Ang Mo Kio Ave 8,North-East,"1.37485446863611,103.8502086106 560505"
143782,Bedok,3 Room,New Generation,67.0,Bedok North Avenue 1,355000.0,4,55.333333333333336,1979,10 To 12,520,3.0,11.0,2023-04-01,2023,Bedok Nth Ave 1,East,"1.33046462080356,103.928134263896 460520"
143783,Bedok,3 Room,New Generation,68.0,Bedok North Avenue 1,375000.0,4,56.25,1980,10 To 12,548,3.0,11.0,2023-04-01,2023,Bedok Nth Ave 1,East,"1.33131021834565,103.92685391703 460548"
143784,Bedok,3 Room,New Generation,68.0,Bedok North Avenue 1,348000.0,4,56.166666666666664,1980,04 To 06,548,3.0,5.0,2023-04-01,2023,Bedok Nth Ave 1,East,"1.33131021834565,103.92685391703 460548"
143785,Bedok,3 Room,New Generation,67.0,Bedok North Avenue 1,365000.0,4,54.75,1979,04 To 06,424,3.0,5.0,2023-04-01,2023,Bedok Nth Ave 1,East,"1.32842000962637,103.927482677521 460424"
143791,Bedok,3 Room,New Generation,67.0,Bedok North Avenue 2,368000.0,4,55.333333333333336,1979,04 To 06,515,3.0,5.0,2023-04-01,2023,Bedok Nth Ave 2,East,"1.33186656511661,103.929960229584 460515"
143792,Bedok,3 Room,New Generation,68.0,Bedok North Avenue 2,365000.0,4,56.0,1980,04 To 06,409,3.0,5.0,2023-04-01,2023,Bedok Nth Ave 2,East,"1.3281029219141,103.932938109001 460409"
143794,Bedok,3 Room,New Generation,67.0,Bedok North Avenue 3,383800.0,4,55.25,1979,04 To 06,402,3.0,5.0,2023-04-01,2023,Bedok Nth Ave 3,East,"1.33055472908632,103.933686723902 460402"
143800,Bedok,3 Room,New Generation,67.0,Bedok North Avenue 4,365000.0,4,54.583333333333336,1978,10 To 12,100,3.0,11.0,2023-04-01,2023,Bedok Nth Ave 4,East,"1.3343559340081,103.939032711241 460100"
143818,Bedok,3 Room,New Generation,73.0,Bedok North Road,370000.0,4,54.166666666666664,1978,01 To 03,115,3.0,2.0,2023-04-01,2023,Bedok Nth Rd,East,"1.33143368026417,103.936865404278 460115"
