_id,resale_price,year,month,timeseries_month,region,town,rooms,avg_storey,floor_area_sqm,remaining_lease,dist_to_marina_bay,latitude,longitude,nearest_station_0,dist_to_station0
152333,965000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,23.0,93.0,94.83333333333333,9.74,1.37122178516983,103.853853154442,Ang Mo Kio MRT,0.5
152334,980000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,32.0,93.0,94.83333333333333,9.72,1.37093324079314,103.851940766136,Ang Mo Kio MRT,0.29
152335,940000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,23.0,93.0,94.83333333333333,9.74,1.37118642598512,103.852980282648,Ang Mo Kio MRT,0.41
152336,928000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,4.0,8.0,93.0,94.75,9.72,1.37093324079314,103.851940766136,Ang Mo Kio MRT,0.29
152337,690000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,5.0,2.0,123.0,53.25,9.25,1.36572552222846,103.845750564626,Ang Mo Kio MRT,0.63
152338,660000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,5.0,11.0,119.0,56.416666666666664,9.83,1.37226364000281,103.856828749976,Ang Mo Kio MRT,0.85
152339,705000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,5.0,14.0,120.0,55.75,9.17,1.36633947709831,103.859122319513,Ang Mo Kio MRT,1.14
152340,700000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,5.0,23.0,119.0,54.666666666666664,9.3,1.36720027552413,103.853247443819,Ang Mo Kio MRT,0.51
152341,808000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,5.0,8.0,146.0,54.083333333333336,9.37,1.36748702509964,103.849651723914,Ang Mo Kio MRT,0.27
152342,638888.0,2023,5,2023-05-01,North-East,Ang Mo Kio,5.0,5.0,123.0,53.75,9.25,1.36620036835108,103.848778360851,Ang Mo Kio MRT,0.42
152343,665000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,5.0,11.0,121.0,56.75,10.32,1.37598486077444,103.848860479053,Ang Mo Kio MRT,0.67
152344,840000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,5.0,8.0,136.0,56.333333333333336,10.19,1.37482589458092,103.848956089557,Ang Mo Kio MRT,0.55
152345,855000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,5.0,23.0,110.0,81.91666666666667,9.18,1.36502933267756,103.845300649183,Ang Mo Kio MRT,0.72
152346,296000.0,2023,5,2023-05-01,East,Bedok,2.0,11.0,45.0,61.75,8.85,1.33270278688381,103.923456730636,Bedok North MRT,0.65
152347,378000.0,2023,5,2023-05-01,East,Bedok,3.0,8.0,67.0,54.5,9.18,1.32856421177174,103.930036524233,Bedok Reservoir MRT,0.92
152348,380000.0,2023,5,2023-05-01,East,Bedok,3.0,8.0,67.0,53.25,10.08,1.3332985212474,103.936601473643,Bedok Reservoir MRT,0.61
152349,375000.0,2023,5,2023-05-01,East,Bedok,3.0,11.0,67.0,53.25,10.17,1.33348258777759,103.937542520091,Bedok Reservoir MRT,0.68
152350,380000.0,2023,5,2023-05-01,East,Bedok,3.0,14.0,67.0,53.25,10.17,1.33348258777759,103.937542520091,Bedok Reservoir MRT,0.68
152351,372000.0,2023,5,2023-05-01,East,Bedok,3.0,5.0,73.0,54.083333333333336,9.99,1.33143368026417,103.936865404278,Bedok Reservoir MRT,0.77
