_id,resale_price,year,month,year_month,region,town,rooms,avg_storey,floor_area_sqm,remaining_lease,address,dist_to_marina_bay,latitude,longitude,postal_code,nearest_station_0,dist_to_station_0
169219,628000.0,2024,1,2024-01,North-East,Ang Mo Kio,4.0,5.0,98.0,53.416666666666664,"345, Ang Mo Kio Avenue 3",9.38,1.36748702509964,103.849651723914,560345,Ang Mo Kio MRT,0.27
169220,522800.0,2024,1,2024-01,North-East,Ang Mo Kio,4.0,11.0,92.0,54.416666666666664,"573, Ang Mo Kio Avenue 3",9.66,1.37056143999067,103.854823102785,560573,Ang Mo Kio MRT,0.59
169221,470000.0,2024,1,2024-01,North-East,Ang Mo Kio,4.0,2.0,91.0,52.333333333333336,"209, Ang Mo Kio Avenue 3",9.66,1.36897079641509,103.843284524871,560209,Ang Mo Kio MRT,0.71
169222,524000.0,2024,1,2024-01,North-East,Ang Mo Kio,4.0,5.0,92.0,53.833333333333336,"428, Ang Mo Kio Avenue 3",9.48,1.36893906457102,103.854412288513,560428,Ang Mo Kio MRT,0.55
169223,588000.0,2024,1,2024-01,North-East,Ang Mo Kio,4.0,5.0,98.0,53.75,"325, Ang Mo Kio Avenue 3",9.47,1.36789986956821,103.846887401387,560325,Ang Mo Kio MRT,0.37
169224,500000.0,2024,1,2024-01,North-East,Ang Mo Kio,4.0,2.0,92.0,52.416666666666664,"326, Ang Mo Kio Avenue 3",9.36,1.36706933818888,103.847902498352,560326,Ang Mo Kio MRT,0.37
169225,570000.0,2024,1,2024-01,North-East,Ang Mo Kio,4.0,5.0,98.0,53.25,"344, Ang Mo Kio Avenue 3",9.44,1.36797705108684,103.849264839398,560344,Ang Mo Kio MRT,0.22
169226,470000.0,2024,1,2024-01,North-East,Ang Mo Kio,4.0,8.0,90.0,53.5,"118, Ang Mo Kio Avenue 4",10.33,1.37329593649654,103.835475719134,560118,Mayflower MRT,0.24
169227,523000.0,2024,1,2024-01,North-East,Ang Mo Kio,4.0,8.0,100.0,55.916666666666664,"642, Ang Mo Kio Avenue 5",10.69,1.37794352430397,103.840479239853,560642,Yio Chu Kang MRT,0.65
169228,501000.0,2024,1,2024-01,North-East,Ang Mo Kio,4.0,2.0,92.0,55.666666666666664,"522, Ang Mo Kio Avenue 5",9.97,1.37311591940692,103.851949371025,560522,Ang Mo Kio MRT,0.44
169229,490000.0,2024,1,2024-01,North-East,Ang Mo Kio,4.0,5.0,91.0,56.333333333333336,"179, Ang Mo Kio Avenue 5",10.69,1.37690418077298,103.836218103538,560179,Mayflower MRT,0.6
169230,530000.0,2024,1,2024-01,North-East,Ang Mo Kio,4.0,11.0,91.0,55.583333333333336,"638, Ang Mo Kio Avenue 6",10.9,1.38047559647224,103.843567764408,560638,Yio Chu Kang MRT,0.21
